t,position_ticks,position_rad,speed,load
1.84,3046,-1.61091,0,0
1.85,3011,-1.66453,0,0
1.86,2976,-1.71748,0,0
1.87,2942,-1.76974,0,0
1.88,2909,-1.8213,0,0
1.89,2876,-1.87213,0,0
1.9,2843,-1.92221,0,0
1.91,2811,-1.97152,0,0
1.92,2779,-2.02004,0,0
1.93,2748,-2.06775,0,0
1.94,2717,-2.11464,0,0
1.95,2687,-2.16068,0,0
1.96,2658,-2.20586,0,0
1.97,2629,-2.25015,0,0
1.98,2601,-2.29355,0,0
1.99,2573,-2.33602,0,0
2.0,2546,-2.37757,0,0
2.01,2520,-2.41816,0,0
2.02,2494,-2.45778,0,0
2.03,2469,-2.49642,0,0
2.04,2444,-2.53406,0,0
2.05,2420,-2.57069,0,0
2.06,2397,-2.60629,0,0
2.07,2374,-2.64085,0,0
2.08,2353,-2.67435,0,0
2.09,2331,-2.70679,0,0
2.1,2311,-2.73814,0,0
2.11,2291,-2.76839,0,0
2.12,2272,-2.79754,0,0
2.13,2254,-2.82557,0,0
2.14,2236,-2.85246,0,0
2.15,2220,-2.87822,0,0
2.16,2204,-2.90283,0,0
2.17,2188,-2.92627,0,0
2.18,2174,-2.94854,0,0
2.19,2160,-2.96964,0,0
2.2,2147,-2.98955,0,0
2.21,2135,-3.00826,0,0
2.22,2124,-3.02577,0,0
2.23,2113,-3.04206,0,0
2.24,2103,-3.05714,0,0
2.25,2094,-3.071,0,0
2.26,2086,-3.08363,0,0
2.27,2078,-3.09503,0,0
2.28,2072,-3.10519,0,0
2.29,2066,-3.1141,0,0
2.3,2061,-3.12177,0,0
2.31,2057,-3.12819,0,0
2.32,2053,-3.13337,0,0
2.33,2051,-3.13728,0,0
2.34,2049,-3.13994,0,0
2.35,2048,-3.14135,0,0
2.36,2048,-3.1415,0,0
2.37,2049,-3.1404,0,0
2.38,2050,-3.13803,0,0
2.39,2053,-3.13441,0,0
2.4,2056,-3.12954,0,0
2.41,2060,-3.12342,0,0
2.42,2065,-3.11605,0,0
2.43,2070,-3.10743,0,0
2.44,2077,-3.09757,0,0
2.45,2084,-3.08647,0,0
2.46,2092,-3.07413,0,0
2.47,2101,-3.06057,0,0
2.48,2110,-3.04578,0,0
2.49,2121,-3.02977,0,0
2.5,2132,-3.01255,0,0
2.51,2144,-2.99413,0,0
2.52,2157,-2.9745,0,0
2.53,2170,-2.95369,0,0
2.54,2185,-2.9317,0,0
2.55,2200,-2.90853,0,0
2.56,2216,-2.8842,0,0
2.57,2232,-2.85872,0,0
2.58,2250,-2.83209,0,0
2.59,2268,-2.80434,0,0
2.6,2287,-2.77545,0,0
2.61,2306,-2.74546,0,0
2.62,2327,-2.71437,0,0
2.63,2347,-2.6822,0,0
2.64,2369,-2.64895,0,0
2.65,2392,-2.61465,0,0
2.66,2415,-2.57929,0,0
2.67,2438,-2.54291,0,0
2.68,2463,-2.50551,0,0
2.69,2488,-2.4671,0,0
2.7,2513,-2.42771,0,0
2.71,2540,-2.38735,0,0
2.72,2567,-2.34603,0,0
2.73,2594,-2.30378,0,0
2.74,2622,-2.2606,0,0
2.75,2651,-2.21652,0,0
2.76,2680,-2.17155,0,0
2.77,2710,-2.12572,0,0
2.78,2741,-2.07903,0,0
2.79,2772,-2.03151,0,0
2.8,2803,-1.98318,0,0
2.81,2835,-1.93406,0,0
2.82,2868,-1.88416,0,0
2.83,2901,-1.83351,0,0
2.84,2934,-1.78213,0,0
2.85,2968,-1.73003,0,0
2.86,3003,-1.67724,0,0
2.87,3037,-1.62378,0,0
2.88,3073,-1.56967,0,0
2.89,3108,-1.51493,0,0
2.9,3144,-1.45959,0,0
2.91,3181,-1.40366,0,0
2.92,3218,-1.34718,0,0
2.93,3255,-1.29015,0,0
2.94,3292,-1.2326,0,0
2.95,3330,-1.17457,0,0
2.96,3368,-1.11606,0,0
2.97,3407,-1.05711,0,0
2.98,3446,-0.99773,0,0
2.99,3485,-0.93796,0,0
3.0,3524,-0.87781,0,0
3.01,3563,-0.81731,0,0
3.02,3603,-0.75648,0,0
3.03,3643,-0.69535,0,0
3.04,3683,-0.63394,0,0
3.05,3723,-0.57228,0,0
3.06,3763,-0.51039,0,0
3.07,3804,-0.44829,0,0
3.08,3844,-0.38602,0,0
3.09,3885,-0.32359,0,0
3.1,3926,-0.26103,0,0
3.11,3967,-0.19837,0,0
3.12,4008,-0.13563,0,0
3.13,4049,-0.07283,0,0
3.14,4089,-0.01001,0,0
3.15,34,0.05282,0,0
3.16,75,0.11563,0,0
3.17,116,0.17839,0,0
3.18,157,0.24108,0,0
3.19,198,0.30368,0,0
3.2,239,0.36615,0,0
3.21,279,0.42848,0,0
3.22,320,0.49063,0,0
3.23,360,0.55259,0,0
3.24,400,0.61433,0,0
3.25,441,0.67582,0,0
3.26,480,0.73704,0,0
3.27,520,0.79797,0,0
3.28,560,0.85858,0,0
3.29,599,0.91884,0,0
3.3,638,0.97874,0,0
3.31,677,1.03824,0,0
3.32,715,1.09733,0,0
3.33,754,1.15598,0,0
3.34,792,1.21417,0,0
3.35,829,1.27187,0,0
3.36,866,1.32907,0,0
3.37,903,1.38573,0,0
3.38,940,1.44184,0,0
3.39,976,1.49737,0,0
3.4,1012,1.5523,0,0
3.41,1047,1.60661,0,0
3.42,1082,1.66028,0,0
3.43,1117,1.71329,0,0
3.44,1151,1.76561,0,0
3.45,1185,1.81722,0,0
3.46,1218,1.86811,0,0
3.47,1251,1.91825,0,0
3.48,1283,1.96762,0,0
3.49,1314,2.01621,0,0
3.5,1346,2.06398,0,0
3.51,1376,2.11094,0,0
3.52,1406,2.15705,0,0
3.53,1436,2.20229,0,0
3.54,1465,2.24666,0,0
3.55,1493,2.29012,0,0
3.56,1521,2.33267,0,0
3.57,1548,2.37429,0,0
3.58,1574,2.41496,0,0
3.59,1600,2.45466,0,0
3.6,1625,2.49338,0,0
3.61,1650,2.5311,0,0
3.62,1674,2.56781,0,0
3.63,1697,2.6035,0,0
3.64,1720,2.63814,0,0
3.65,1742,2.67173,0,0
3.66,1763,2.70424,0,0
3.67,1783,2.73568,0,0
3.68,1803,2.76602,0,0
3.69,1822,2.79526,0,0
3.7,1841,2.82337,0,0
3.71,1858,2.85036,0,0
3.72,1875,2.87621,0,0
3.73,1891,2.90091,0,0
3.74,1906,2.92445,0,0
3.75,1921,2.94681,0,0
3.76,1935,2.968,0,0
3.77,1948,2.988,0,0
3.78,1960,3.00681,0,0
3.79,1972,3.02442,0,0
3.8,1982,3.04081,0,0
3.81,1992,3.05599,0,0
3.82,2001,3.06994,0,0
3.83,2010,3.08267,0,0
3.84,2017,3.09417,0,0
3.85,2024,3.10442,0,0
3.86,2030,3.11344,0,0
3.87,2035,3.12121,0,0
3.88,2039,3.12773,0,0
3.89,2042,3.133,0,0
3.9,2045,3.13702,0,0
3.91,2047,3.13978,0,0
3.92,2048,3.14129,0,0
3.93,2048,3.14154,0,0
3.94,2047,3.14053,0,0
3.95,2046,3.13827,0,0
3.96,2044,3.13475,0,0
3.97,2040,3.12998,0,0
3.98,2037,3.12395,0,0
3.99,2032,3.11668,0,0
4.0,2026,3.10816,0,0
4.01,2020,3.0984,0,0
4.02,2013,3.0874,0,0
4.03,2005,3.07516,0,0
4.04,1996,3.06169,0,0
4.05,1986,3.047,0,0
4.06,1976,3.03109,0,0
4.07,1965,3.01396,0,0
4.08,1953,2.99564,0,0
4.09,1940,2.97611,0,0
4.1,1927,2.95539,0,0
4.11,1912,2.93349,0,0
4.12,1897,2.91042,0,0
4.13,1881,2.88618,0,0
4.14,1865,2.86079,0,0
4.15,1848,2.83426,0,0
4.16,1830,2.80659,0,0
4.17,1811,2.7778,0,0
4.18,1791,2.74789,0,0
4.19,1771,2.71689,0,0
4.2,1750,2.6848,0,0
4.21,1729,2.65164,0,0
4.22,1706,2.61742,0,0
4.23,1683,2.58215,0,0
4.24,1660,2.54584,0,0
4.25,1635,2.50852,0,0
4.26,1610,2.4702,0,0
4.27,1585,2.43088,0,0
4.28,1558,2.3906,0,0
4.29,1532,2.34936,0,0
4.3,1504,2.30718,0,0
4.31,1476,2.26407,0,0
4.32,1447,2.22006,0,0
4.33,1418,2.17517,0,0
4.34,1388,2.1294,0,0
4.35,1358,2.08278,0,0
4.36,1327,2.03533,0,0
4.37,1295,1.98706,0,0
4.38,1263,1.938,0,0
4.39,1231,1.88816,0,0
4.4,1198,1.83757,0,0
4.41,1164,1.78624,0,0
4.42,1131,1.7342,0,0
4.43,1096,1.68147,0,0
4.44,1061,1.62806,0,0
4.45,1026,1.574,0,0
4.46,990,1.51932,0,0
4.47,954,1.46402,0,0
4.48,918,1.40814,0,0
4.49,881,1.35169,0,0
4.5,844,1.29471,0,0
4.51,807,1.23721,0,0
4.52,769,1.17921,0,0
4.53,731,1.12074,0,0
4.54,692,1.06182,0,0
4.55,654,1.00248,0,0
4.56,615,0.94273,0,0
4.57,575,0.88261,0,0
4.58,536,0.82214,0,0
4.59,496,0.76134,0,0
4.6,456,0.70023,0,0
4.61,416,0.63884,0,0
4.62,376,0.5772,0,0
4.63,336,0.51533,0,0
4.64,295,0.45325,0,0
4.65,255,0.39099,0,0
4.66,214,0.32857,0,0
4.67,173,0.26602,0,0
4.68,133,0.20336,0,0
4.69,92,0.14063,0,0
4.7,51,0.07783,0,0
4.71,10,0.01501,0,0
4.72,4065,-0.04782,0,0
4.73,4024,-0.11063,0,0
4.74,3983,-0.1734,0,0
4.75,3942,-0.23609,0,0
4.76,3901,-0.2987,0,0
4.77,3861,-0.36118,0,0
4.78,3820,-0.42352,0,0
4.79,3779,-0.48569,0,0
4.8,3739,-0.54766,0,0
4.81,3699,-0.60942,0,0
4.82,3659,-0.67093,0,0
4.83,3619,-0.73218,0,0
4.84,3579,-0.79313,0,0
4.85,3539,-0.85376,0,0
4.86,3500,-0.91405,0,0
4.87,3461,-0.97398,0,0
4.88,3422,-1.03352,0,0
4.89,3384,-1.09264,0,0
4.9,3345,-1.15133,0,0
4.91,3307,-1.20955,0,0
4.92,3270,-1.2673,0,0
4.93,3233,-1.32453,0,0
4.94,3196,-1.38124,0,0
4.95,3159,-1.43739,0,0
4.96,3123,-1.49297,0,0
4.97,3087,-1.54795,0,0
4.98,3051,-1.60231,0,0
4.99,3016,-1.65603,0,0
