t,ax,ay,az,gx,gy,gz
0.27,0.106423,-0.041069,0.041924,-0.009029,0.009316,0.00385
0.28,-0.007832,-0.002038,-0.032739,0.004461,-0.00455,-0.012256
0.29,-0.063897,0.008629,0.078955,0.0016,-0.001186,0.002858
0.3,0.0653,0.010969,-0.020546,0.011063,0.004288,0.015358
0.31,0.009162,-0.061223,-0.068408,0.016509,0.017237,-0.001795
0.32,-0.019159,0.073072,-0.055352,-0.008947,0.006433,-0.003946
0.33,-0.000256,-0.008172,0.016879,0.014075,0.000906,0.006439
0.34,-0.102509,-0.002436,-0.042162,-0.012188,-0.008782,-0.003341
0.35,0.045795,-0.06632,0.001532,-0.004842,-0.003277,0.010028
0.36,0.026906,0.06687,-0.007725,-0.006959,-0.002239,0.002425
0.37,0.008829,-0.054219,0.004524,0.002282,0.025175,0.018768
0.38,-0.042662,-0.014369,-0.073172,-0.005907,0.003156,0.012059
0.39,-0.036454,-0.032707,-0.107364,-0.001627,-0.010624,-0.005294
0.4,-0.043843,-0.004713,-0.087886,-0.01467,0.021292,-0.012874
0.41,-0.054839,0.091846,0.145253,-0.011716,-0.003682,0.003416
0.42,0.086435,-0.049343,-0.012264,0.007773,0.004348,-0.003762
0.43,-0.006691,-0.068745,-0.011909,-0.002664,0.002322,-0.005553
0.44,0.023577,0.050636,0.007771,0.003518,0.000532,1e-06
0.45,-0.036078,0.015825,-0.004864,0.020932,0.015734,0.003858
0.46,-0.038153,-0.055621,0.059557,0.002627,0.004801,-0.017446
0.47,0.046372,0.022721,-0.055522,-0.004715,0.002637,0.000525
0.48,-0.014609,-0.005174,-0.012599,0.001526,0.014715,-0.025667
0.49,-0.011843,0.008826,0.0148,-0.003719,-0.017567,0.00328
0.5,0.086368,-0.076693,0.043191,-0.003285,-0.000613,-0.010529
0.51,-0.016723,0.065002,0.029133,0.017323,0.011774,0.004391
0.52,0.087197,0.02195,0.041399,-0.002966,0.000665,-0.006974
0.53,0.049479,-0.058915,0.039118,-0.001907,0.011712,0.007509
0.54,0.091032,0.036539,-0.078602,-0.00067,-0.01172,-0.005183
0.55,0.075561,0.031877,-0.034947,-0.010137,0.000328,-0.012166
0.56,-0.033557,0.0156,0.057766,0.006088,-0.022913,0.003044
0.57,0.003602,0.020695,0.08081,-0.020632,-0.005911,0.005909
0.58,-0.07908,0.073797,0.018418,0.008466,-0.005709,0.008138
0.59,0.053424,0.011644,0.01172,0.002703,-0.008633,-0.001475
0.6,-0.007626,0.01917,0.049991,-0.010585,-0.00125,0.014815
0.61,-0.037179,-0.041113,0.010115,0.008444,0.000114,0.01329
0.62,0.04284,0.042091,0.027706,0.023277,-0.002052,-0.020035
0.63,0.080213,-0.022885,0.005394,0.013096,-0.016023,-0.012516
0.64,-0.080064,-0.039707,0.021982,0.005242,0.002763,-0.014128
0.65,-0.115505,0.002718,-0.023589,0.004594,0.00702,0.001382
0.66,0.038007,0.011461,0.026503,-0.007047,-0.001796,0.001968
0.67,0.041026,-0.019687,0.026058,-0.002658,-0.001175,0.008295
0.68,-0.099653,-0.064824,-0.074109,-0.023336,-0.006783,0.007494
0.69,-0.014244,0.00989,0.054461,0.013277,-0.000691,0.013536
0.7,0.004606,-0.04187,-0.02972,-0.014805,-0.008881,-0.00358
0.71,0.040179,0.086038,-0.069109,0.003928,-0.010405,0.004747
0.72,-0.006554,-0.091545,0.046415,-0.00605,-0.005339,-0.010698
0.73,-0.032714,0.021395,-0.009462,0.003287,0.003619,0.013207
0.74,-0.017139,-0.073843,0.053361,-0.003315,0.011146,0.003834
0.75,-0.006557,0.017439,0.097551,0.02077,0.000694,0.001602
0.76,0.053812,-0.042283,0.016654,-0.000259,0.003139,-0.008334
0.77,-0.079478,-0.103649,-0.055869,-0.004587,-0.002932,0.019372
0.78,0.0553,-0.048105,0.017385,-0.004071,-0.002844,0.001853
0.79,0.030959,-0.016963,0.053193,-0.011419,6.3e-05,0.025977
0.8,0.011154,0.071661,0.004576,0.005808,-0.000568,-0.001704
0.81,-0.038974,0.021515,-0.042577,0.006656,0.010853,0.003665
0.82,-0.014312,0.022698,-0.015434,0.009355,-0.018314,-0.003356
0.83,-0.099541,-0.074753,0.068193,0.008952,-0.007195,-0.015025
0.84,-0.148226,-0.027175,0.121021,0.004349,-0.005596,0.004651
0.85,-0.078048,-0.014866,0.004974,-0.000861,0.007908,0.003446
0.86,0.033416,-0.034419,0.044891,0.016289,-0.009701,-0.008877
0.87,0.066789,-0.009567,0.070191,-0.004425,0.01455,0.001315
0.88,0.012911,0.078236,-0.018089,-0.009411,-0.004486,0.004523
0.89,-0.078288,0.031874,-0.026939,0.011478,-0.023943,-0.007866
0.9,-0.084323,-0.041311,0.012383,-0.001792,-0.002534,-0.001592
0.91,0.010169,-0.050427,0.035342,0.006627,0.00385,0.005565
0.92,0.014821,0.101754,-0.004355,-0.003071,-0.007535,-0.010323
0.93,-0.062224,-0.04444,-0.003534,0.003343,0.000511,-0.007655
0.94,0.045009,0.036971,-0.007982,-0.006529,0.005484,0.00188
0.95,-0.072406,-0.003399,0.013102,-0.008997,0.001898,-0.014548
0.96,0.066809,0.062397,-0.012626,0.003635,-0.024099,-0.011563
0.97,-0.014689,-0.053607,0.03572,0.019973,-0.011766,-0.008375
0.98,0.011772,0.080556,-0.061119,0.00249,0.018213,-0.016518
0.99,-0.064053,-0.02118,-0.026029,0.008126,0.002417,-0.01775
1.0,0.025771,-0.028877,0.063722,-0.006276,-0.006366,0.005411
1.01,0.038146,0.022405,-0.08428,0.00538,-0.010343,0.002353
1.02,-0.071187,0.022316,-0.04033,-0.012826,0.007138,0.002416
1.03,-0.030699,0.072559,-0.022033,0.000321,0.002689,-0.006197
1.04,0.023557,-0.026673,-0.020582,0.013626,-0.010406,-0.024128
1.05,0.080547,0.127466,-0.020263,-0.019368,-0.003105,-0.002862
1.06,-0.009496,-0.055669,0.028978,0.005245,-0.014944,0.006992
1.07,0.102634,0.008598,-0.016866,-0.00142,0.006153,-0.017307
1.08,0.00822,-0.019523,0.092391,-0.001742,0.016679,-0.011037
1.09,0.029363,0.01597,-0.043452,0.001774,0.012125,-0.003238
1.1,-0.084598,-0.000878,-0.045121,-0.003423,-0.000816,-0.017057
1.11,-0.080783,0.024103,-0.026136,-0.025647,0.007848,0.002724
1.12,-0.035694,-0.065842,0.04179,0.003494,0.023826,0.004202
1.13,0.019385,-0.008346,0.040839,0.006251,0.012517,-0.005213
1.14,-0.02177,-0.023955,0.03954,0.014984,-0.004588,-0.004248
1.15,0.015704,-0.012288,0.047603,-0.022518,-0.008267,-0.007824
1.16,-0.116018,-0.048182,-0.045758,-0.002011,0.01113,-0.002451
1.17,-0.051541,-0.002848,0.052459,-0.00976,-0.009106,0.005585
1.18,-0.011077,0.032374,-0.000682,0.007017,-0.010351,-0.000121
1.19,-0.010535,-0.060795,-0.078174,0.006857,-0.00351,-0.010223
1.2,-0.004809,0.056401,-0.114037,-0.014966,-0.009229,0.014612
1.21,0.014129,0.038366,-0.057008,-0.011195,0.004478,0.000583
1.22,0.027437,-0.009384,0.013907,0.001581,0.007778,0.00807
1.23,-0.080994,-0.112363,0.050087,0.011877,-0.010206,-0.018598
1.24,0.004952,0.046542,0.08988,0.005163,-0.003717,-0.008931
1.25,0.000573,-0.014963,-0.050753,0.020488,0.017852,0.01136
1.26,-0.046043,0.042751,0.031981,0.004425,0.012497,0.006354
1.27,0.037001,0.031845,0.01704,-0.017836,0.000836,-0.005562
1.28,-0.063992,0.084091,0.08645,0.013592,0.002552,0.013506
1.29,0.000603,0.01014,-0.054674,0.00397,0.000604,-0.013027
1.3,-0.00256,-0.003986,0.089878,0.008942,0.000114,0.002488
1.31,0.002211,-0.010146,-0.054121,-0.001511,-0.007461,-0.012503
1.32,0.025561,0.019563,-0.089335,-0.001227,0.009957,0.010592
1.33,0.051292,0.001946,-0.042252,-0.010837,0.003446,0.003793
1.34,0.064367,0.054999,-0.006611,-0.012442,-0.003191,0.002172
1.35,-0.010104,-0.028895,0.012644,-0.00504,-0.006281,0.003115
1.36,-0.0201,0.012205,0.01366,-0.011394,-0.004812,0.014378
1.37,-0.058104,-0.105833,-0.093092,0.000291,0.000309,-0.001176
1.38,0.060709,-0.133642,0.019797,0.015614,-0.011278,-0.003798
1.39,-0.037645,-0.044717,-0.016313,0.014275,0.018374,-0.003359
1.4,0.095253,0.001779,0.087685,-0.000933,0.001311,0.003655
1.41,0.158943,0.042564,-0.035363,0.00969,-0.003618,-0.004898
1.42,0.04543,0.001554,0.013929,0.00014,0.003366,0.00425
1.43,-0.096848,0.033329,-0.049101,-0.014423,-0.000584,0.00084
1.44,-0.034675,0.041552,-0.067109,-0.004069,-0.005849,-0.000466
1.45,0.013943,-0.050395,0.036214,0.00063,-0.018919,-0.019586
1.46,-0.000616,-0.011048,-0.005171,-0.00028,0.002256,0.009476
1.47,-0.055555,-0.058599,-0.054666,0.002889,0.012449,-0.004313
1.48,-0.125085,-0.0852,-0.041652,-0.005577,-0.004084,0.000386
1.49,-0.015587,0.052467,-0.033801,-0.008623,0.004789,-0.015356
1.5,0.019485,0.005128,-0.007372,0.015883,-0.006222,0.020603
1.51,-0.011272,-0.063851,0.003496,-0.010762,-0.007518,0.00397
1.52,0.027779,-0.031108,0.04937,0.011575,0.014363,0.005294
1.53,0.068171,-0.09404,-0.015895,-0.00867,0.001192,-0.005714
1.54,-0.008308,0.094109,-0.008486,0.004138,-0.002323,0.000757
1.55,0.000301,0.022416,0.058265,0.016474,0.003096,0.005895
1.56,-0.057543,-0.004394,0.047014,0.00866,0.002116,0.008864
1.57,0.024538,0.060015,0.014468,-0.003557,0.003358,-0.029306
1.58,0.019144,-0.182421,-0.086173,0.004518,0.004775,-0.011624
1.59,-0.035605,0.068527,-0.024202,0.022429,-1.9e-05,0.00408
1.6,0.080844,0.006551,-0.050117,-0.001097,-0.000356,-0.013647
1.61,-0.012792,-0.03711,0.046218,0.000346,-0.002828,-0.001062
1.62,0.011156,0.030841,-0.049986,-0.010416,0.011047,-0.004123
1.63,-0.070842,0.022191,0.023168,-0.015307,0.002295,0.007356
1.64,0.018719,0.031599,-0.070213,0.00331,-0.003026,-0.004828
1.65,0.043528,0.073964,0.089719,0.013148,-0.001097,0.003527
1.66,0.038341,0.006059,0.006538,0.008238,-0.000593,-0.007293
1.67,-0.020724,0.031696,0.00015,0.003402,0.006701,-0.003748
1.68,0.037812,0.018942,-0.061741,0.014423,-0.005007,-0.016551
1.69,-0.052252,-0.051052,0.002609,-0.002739,-0.003368,0.006197
1.7,0.016994,0.015802,0.020491,0.006161,-0.02108,-0.003644
1.71,-0.109011,0.001803,-0.000232,0.010455,0.011876,0.002028
1.72,-0.025018,0.024258,-0.026396,-1.4e-05,0.009861,-0.005578
1.73,0.040284,0.03387,-0.04774,0.009739,0.006986,0.001019
1.74,-0.038116,-0.04296,-0.026883,0.005426,-0.009556,0.004375
1.75,-0.062088,-0.010203,0.005482,0.024451,-0.013773,0.01472
1.76,0.007492,0.020559,0.005917,0.004447,-0.001537,0.014541
1.77,-0.022824,0.056612,-0.032218,-0.000603,-0.01072,0.00455
1.78,0.072256,-0.003868,-0.009844,-0.011146,-0.002293,-0.015928
1.79,-0.045644,0.011339,0.065951,0.028092,-0.005866,0.014353
1.8,0.012188,-0.007562,0.02163,0.000619,0.001104,-0.004083
1.81,-0.069905,-0.077181,0.032662,-0.002767,-0.005961,8.5e-05
1.82,0.039747,0.009018,-0.032803,0.012263,0.015792,0.004946
1.83,0.048683,0.062098,0.056505,0.006141,0.005983,0.005197
1.84,-0.054867,0.035036,-0.067791,-0.007946,0.013036,0.008402
1.85,0.07437,-0.013584,-0.057612,-0.002404,0.00102,0.00079
1.86,0.056684,-0.018064,0.017602,-0.009886,0.004503,3.1e-05
1.87,-0.037491,-0.011791,-0.009209,-0.002702,0.017713,-0.000984
1.88,-0.012195,-0.104873,-0.04471,-0.002631,-0.006859,0.013817
1.89,-0.008247,0.064422,0.003085,0.000372,-0.000888,3.8e-05
1.9,0.08594,-0.115981,-0.100077,-0.005432,0.000145,0.006901
1.91,0.023654,-0.019212,0.050952,0.010302,0.001841,0.009627
1.92,0.013632,-0.028074,0.034891,0.001106,1.3e-05,0.01473
1.93,-0.122544,-0.070884,-0.059354,-0.003633,-0.002546,-0.015073
1.94,-0.049258,-0.043042,0.122871,0.018017,-0.004117,-0.003636
1.95,-0.05746,-0.095407,-0.005844,-0.009979,-0.000849,-0.016002
1.96,-0.038099,0.007431,0.01831,0.004175,-0.013205,0.008547
1.97,-0.040011,0.031643,-0.000532,-0.013764,-0.003162,0.003654
1.98,0.030648,-0.007049,0.076589,0.010075,-0.002567,0.007501
1.99,0.09669,0.098024,-0.0614,-0.009265,0.014849,-0.010583
2.0,-0.066127,-0.02431,0.021011,-0.001024,-0.006506,-0.006742
2.01,-0.035617,-0.043975,0.114082,0.002975,0.008868,-0.004891
2.02,-0.009298,-0.035678,-0.132585,-0.01378,-0.018106,-0.022498
2.03,-0.059768,0.066248,-0.002222,0.012906,0.00411,0.007826
2.04,-0.045045,0.026198,0.036436,-0.005766,0.005595,0.005662
2.05,-0.027478,-0.056138,-0.059206,0.000865,0.00327,-0.007925
2.06,0.001329,0.028527,0.03091,0.015519,0.01277,-0.010013
2.07,0.084179,-0.026549,0.052244,0.00068,-0.004121,-0.018077
2.08,-0.008578,-0.077969,0.048365,0.015168,-0.007969,0.00302
2.09,-0.03627,-0.031424,0.038725,-0.000385,0.017396,-0.004822
2.1,0.049967,0.004871,0.039789,-0.004472,-0.000496,-0.001155
2.11,-0.041803,0.033104,0.032512,0.005936,0.01537,0.014493
2.12,-0.018747,0.018653,-0.03118,0.000234,-0.005997,0.016201
2.13,0.018185,-0.010901,0.059681,-0.021706,-0.020141,0.007958
2.14,0.003023,0.012522,-0.06632,-0.000232,0.020035,0.008242
2.15,0.008485,-0.021953,-0.019729,-0.021292,0.002576,0.008455
2.16,-0.078781,-0.033071,-0.057873,-0.009654,0.000535,-0.020844
2.17,0.030714,0.037693,-0.012555,-0.024807,-0.009964,0.012329
2.18,-0.1389,-0.017376,-0.059,0.008046,-0.006751,0.00404
2.19,0.028273,0.091811,-0.010147,0.00376,-0.014851,0.011904
2.2,-0.038025,-0.028038,-0.001112,-0.015629,0.002288,0.009675
2.21,0.014647,-0.079445,-0.00619,0.00742,-0.01878,-0.010748
2.22,0.043827,0.013505,0.020599,0.018595,0.004686,0.006579
2.23,0.135537,-0.01069,-0.039894,0.004278,0.00439,-0.005267
2.24,-0.05162,0.115492,0.016342,-0.007323,0.009159,-0.001091
2.25,-0.012644,0.028114,-0.064594,0.003526,0.01913,0.004662
2.26,-0.018811,-0.025355,-0.020517,-0.00254,-0.003778,0.009163
2.27,-0.08666,0.0431,-0.018984,0.003769,-0.01127,0.013286
2.28,0.062282,0.04798,-0.075738,0.008291,0.004049,-0.016053
2.29,-0.001215,0.018227,0.027804,0.001773,0.002912,0.014736
2.3,0.061302,-0.143353,-0.015872,-0.001647,-0.017521,0.000942
2.31,0.062438,-0.054328,0.01682,-0.009158,-0.006719,0.014774
2.32,-0.027128,0.023111,-0.093561,0.018623,0.006027,-0.001825
2.33,0.028777,-0.070491,0.059127,-0.00324,-0.002041,-0.004917
2.34,-0.029033,0.034734,0.012795,0.006517,-8.8e-05,0.005132
2.35,-0.020942,0.111487,-0.078397,0.012609,0.013679,-0.008522
2.36,0.111464,0.049775,0.048557,0.00028,-0.002172,-0.002094
2.37,0.019527,0.070059,0.009066,-0.009114,0.008244,0.009212
2.38,0.032733,0.037275,-0.013546,-0.00929,-0.008682,-0.016355
2.39,0.011847,-0.004172,-0.021999,-0.029556,-0.012473,0.011208
2.4,-0.033231,0.01803,-0.069534,0.014387,-0.00144,0.0029
2.41,0.116289,0.075822,-0.015328,-0.005932,-0.003255,0.005099
2.42,-0.005261,-0.019762,0.073359,-0.001142,0.022996,0.000907
2.43,0.089266,0.017866,0.048148,-0.007246,-0.008538,0.004597
2.44,0.049428,0.002013,-0.06432,-0.013603,-0.014271,-0.017676
2.45,0.005474,0.056252,-0.000671,-0.022604,-0.001908,-0.001628
2.46,0.1048,-0.072857,-0.019534,0.017059,0.0045,0.005633
2.47,0.005729,0.016497,0.03888,-0.008095,0.008781,-0.01373
2.48,0.016418,0.008937,-0.030815,-0.000227,-0.006225,-0.010717
2.49,-0.017681,-0.055199,0.01614,-0.011501,0.00712,-0.011815
2.5,-0.028315,-0.03123,0.066257,0.003303,-0.002117,0.004987
2.51,-0.10536,-0.002157,0.099876,0.001323,0.000679,0.005481
2.52,0.04478,-0.099873,-0.084116,0.002103,-0.007149,0.01312
2.53,-0.015759,-0.096727,-0.063401,-0.027497,-0.002341,-0.001884
2.54,-0.021223,0.053944,0.059926,-0.001704,-0.021347,0.006173
2.55,0.027768,0.01547,0.049074,-0.011648,0.020088,-0.009594
2.56,0.037461,-0.084367,-0.046513,0.015164,-0.002609,0.008399
2.57,0.011848,-0.005248,0.068193,-0.002367,-0.017807,-0.008032
2.58,0.02756,0.019775,-0.078353,-0.007243,-0.005817,-0.003655
2.59,-0.068796,-0.031419,-0.036431,0.007715,0.008091,-0.001458
2.6,-0.019602,0.006996,-0.040829,-0.011468,-0.009402,-0.006348
2.61,-0.058174,0.008103,0.036486,-0.015871,0.000251,-0.002199
2.62,0.017075,-0.000647,-0.07268,-0.012624,0.000294,0.010288
2.63,-0.110709,0.017286,0.059481,-0.00153,0.005502,-0.007031
2.64,-0.005968,-0.081046,-0.117217,0.009428,-0.00985,-0.004555
2.65,-0.069322,-0.070498,-0.008692,-0.007296,0.00378,0.004525
2.66,0.016042,0.01193,0.078888,-0.010676,-0.000549,0.011327
2.67,0.063227,-0.071088,-0.015618,0.013581,0.005081,0.001953
2.68,-0.010884,-0.01919,0.014411,-0.002524,-0.000426,0.000786
2.69,-0.033904,0.026606,0.145712,-0.01777,0.00324,-0.007602
2.7,0.02887,0.002328,0.038093,0.011755,0.001924,0.011321
2.71,-0.117215,0.079523,0.018753,0.010778,-0.012199,-0.008308
2.72,0.007297,-0.000852,0.014153,0.010845,-0.017652,0.009738
2.73,0.000414,-0.010189,-0.073556,0.00503,-0.024141,0.006484
2.74,-0.074605,0.002673,-0.005958,0.011695,-0.001787,-0.006941
2.75,-0.02533,0.063644,0.026815,-0.003856,-0.002364,-0.015672
2.76,0.019424,-0.087991,0.03759,0.001286,0.02387,-0.011001
2.77,-0.005133,0.089914,0.059569,-0.006962,0.00224,2e-05
2.78,0.014098,-0.034934,-0.004466,-0.015981,0.001351,0.0045
2.79,-0.011371,-0.080753,0.049427,0.003645,-0.00726,-0.002806
2.8,-0.075033,-0.051271,-0.026891,0.012284,-0.006395,0.006402
2.81,-0.026916,0.012397,-0.00707,0.008731,-0.005348,-0.015725
2.82,-0.069097,-0.026594,-0.062453,0.004102,-0.004658,0.023746
2.83,-0.086886,0.010182,-0.056398,-0.004934,0.001414,-0.023254
2.84,0.011841,0.095145,-0.022672,0.002598,0.010249,-0.00164
2.85,-0.029048,-0.113787,0.03205,-0.001132,-0.010127,0.001266
2.86,-0.029184,-0.026421,0.030315,-0.013384,0.010473,-0.013977
2.87,-0.033135,0.096147,0.056368,0.000976,-0.009405,-0.005293
2.88,0.003664,0.001876,-0.004544,-0.000308,-0.002144,-0.01442
2.89,-0.025826,0.045731,-0.068417,-0.001896,-0.008198,0.001114
2.9,-0.019432,0.07387,0.025329,-0.013118,0.006712,-0.007747
2.91,-0.02885,0.015691,-0.024587,0.008929,-0.007745,-0.006189
2.92,-0.032819,-0.028282,0.05496,0.006288,0.017099,0.022676
2.93,-0.051536,0.003521,-0.05881,-0.007776,-0.006301,-0.010572
2.94,-0.052594,-0.007214,-0.060836,0.008421,-0.009178,0.028096
2.95,-0.022569,0.003601,-0.064767,0.017061,0.011195,0.002969
2.96,-0.06734,0.010533,-0.056072,0.014624,0.008092,0.000954
2.97,-0.121819,-0.049171,0.034388,0.012129,0.011092,-0.01592
2.98,0.015078,0.050776,-0.082917,-7.9e-05,0.002738,-0.003008
2.99,-0.092608,-0.016285,-0.016365,-0.001481,-0.005635,-0.00443
3.0,-0.001985,0.022123,-0.015221,-0.004096,0.000924,-0.019209
3.01,0.023852,-2.8e-05,0.001985,0.009607,-0.019528,-0.019738
3.02,0.01369,-0.000356,0.008509,-0.004621,0.006644,0.009326
3.03,0.024199,-0.013041,-0.105384,0.007692,0.012217,0.006446
3.04,-0.043982,0.03369,0.043026,0.015588,-0.008761,-0.002265
3.05,0.037364,0.002871,-0.055866,0.004146,0.005787,0.00088
3.06,0.010979,-0.012935,0.073914,-0.009007,-0.005873,0.00011
3.07,0.043948,-0.074869,-0.065515,-0.020377,0.000327,-0.011183
3.08,-0.019228,0.033069,-0.032077,0.002313,-0.002993,0.006721
3.09,0.023756,-0.034597,-0.008433,0.010437,0.003934,-0.01397
3.1,0.032781,-0.054231,0.070626,0.010241,0.002899,0.001572
3.11,-0.010452,0.033926,-0.018539,0.002356,0.008719,-0.005618
3.12,-0.03081,-0.059718,-0.053224,-0.018284,0.007298,0.018089
3.13,0.071266,-0.081304,0.036243,0.014221,-0.004568,0.001014
3.14,-0.100395,0.013337,-0.053178,0.001996,-0.015612,0.005429
3.15,0.051226,-0.039159,-0.056846,-0.02156,-0.002664,-0.005816
3.16,-0.077551,0.022651,-0.022499,-0.010757,-0.005546,0.010713
3.17,0.030147,-0.006501,0.030955,-0.011609,0.000324,0.001473
3.18,-0.023492,0.021773,-0.039022,0.005098,0.005519,-0.029172
3.19,0.059515,-0.152382,-0.030802,0.010253,-0.003173,-0.014662
3.2,-0.054687,0.051345,-0.096075,0.01129,-0.000551,-0.011924
3.21,-0.029156,-0.050861,0.043311,0.007324,-0.017192,-0.004036
3.22,-0.043159,0.064675,-0.067505,0.016042,-0.000333,-0.011619
3.23,-0.033864,-0.040081,-0.063731,0.000948,-0.012279,-0.021804
3.24,-0.018984,-0.090143,-0.037608,-0.009091,-0.008712,0.02001
3.25,0.002821,0.012269,-0.08882,-0.00654,0.002153,-0.010245
3.26,0.045403,-0.060135,-0.014318,-0.005861,0.001643,-0.006405
3.27,-0.013545,-0.011807,-0.036719,0.004851,0.002384,-0.000886
3.28,-0.021523,0.039827,-0.011792,-0.003067,0.001047,0.016966
3.29,-0.067018,0.038493,-0.094659,0.002173,0.015751,0.004887
3.3,0.008531,-0.028022,0.001552,-0.002521,-0.00786,-0.002899
3.31,0.009919,-0.038361,-0.040314,-0.013602,0.003907,0.005453
3.32,0.011583,0.048259,0.004393,0.00392,0.003038,-0.000915
3.33,-0.026541,0.110708,-0.022598,-0.006659,0.00434,0.002519
3.34,-0.07024,0.056134,-0.00471,-0.011109,0.011888,0.006257
3.35,-0.063227,0.088859,0.03294,-0.000102,0.015902,0.001593
3.36,-0.001404,-0.033015,0.029093,0.004766,0.000147,-0.0079
3.37,0.006496,-0.00349,-0.066674,-0.014718,0.005652,-0.026019
3.38,0.010271,-0.023904,0.065412,-0.004935,0.006595,-0.003969
3.39,0.005687,0.036842,-0.023128,0.009966,-0.009937,0.002946
3.4,0.046132,0.033002,0.095822,-0.007634,-0.013791,-0.009943
3.41,0.033022,0.024896,0.005113,-0.01123,0.007669,-0.012247
3.42,0.057947,0.142872,0.018323,0.005831,-0.004929,-0.018102
3.43,-0.030136,-0.054645,-0.07235,0.017224,0.002729,0.003797
3.44,-0.015451,-0.008644,0.048228,-0.000323,0.005307,-0.00196
3.45,-0.017108,-0.070346,-0.098887,-0.002616,0.000565,-0.012861
3.46,-0.001724,0.002688,-0.1078,-0.009151,0.004073,0.003871
3.47,-0.057684,0.007922,0.05112,0.007771,-0.000953,-0.00468
3.48,-0.031467,0.023391,0.009755,0.006294,0.001319,0.008188
3.49,0.00473,0.039234,0.043541,-0.008045,-0.018081,0.015435
3.5,0.012833,-0.085724,-0.035691,0.007719,-0.002797,-0.005121
3.51,0.070044,-0.052364,-0.039908,0.002114,0.003905,0.004963
3.52,0.045562,0.009929,0.024469,-0.002592,0.000627,0.001075
3.53,0.010755,0.038627,0.027757,0.000442,-0.008091,0.000677
3.54,-0.001401,0.009659,0.110326,-0.005238,0.004223,0.010685
3.55,0.0049,0.116892,-0.018902,0.003241,-0.007988,-0.003515
3.56,0.012447,0.042315,0.015955,0.012591,-0.00095,-0.003322
3.57,0.135199,0.019712,-0.035974,-0.006943,-0.009427,0.009366
3.58,-0.018219,0.006368,-0.003175,0.007315,-0.008467,-0.010756
3.59,0.011215,0.030048,0.016627,-0.008095,0.006775,-0.007439
3.6,-0.026077,-0.047198,0.065058,0.006334,0.00605,0.012472
3.61,0.140632,-0.085461,-0.036919,-0.006162,-0.008508,-0.010776
3.62,-0.014983,-0.06083,0.016752,0.000517,0.00481,0.005077
3.63,0.03015,-0.01867,0.106057,0.002344,-0.018625,-0.010024
3.64,-0.087025,0.000867,-0.00609,-0.004684,0.020109,0.00549
3.65,0.036305,-0.046554,-0.049957,0.000368,0.00173,-0.018563
3.66,-0.009015,0.000704,-0.010757,-0.008134,-0.005395,-0.001769
3.67,0.00454,0.03024,0.054043,-0.002943,-0.004562,0.004377
3.68,0.030542,-0.02171,0.03952,0.009796,0.012917,0.017783
3.69,-0.043321,0.000695,0.000564,-0.000981,-0.006493,-0.014856
3.7,0.004634,-0.038418,0.0043,-0.00794,-0.010997,0.002343
3.71,0.007546,0.028964,0.109293,0.002773,0.004851,-0.010776
3.72,-0.064345,0.079141,-0.046174,-0.010439,-0.000391,-0.000902
3.73,-0.045125,-0.015249,0.061469,-0.00806,-0.013937,0.009426
3.74,0.024615,-0.031026,-0.079108,-0.007446,-0.000547,0.011657
3.75,-0.051829,-0.004226,0.033757,-0.023813,0.010338,-0.011825
